Comparación 1 a 1 de tokens de la colección Vaswani:
Stems iguales: 7128 | Stems diferentes: 5061
------------------------------------------------------------------------------------------
Token                     Porter               Lancaster           
unijunction               unijunct             unijunct            
unilateral                unilater             unil                
unilateralization         unilater             unil                
unilateralized            unilater             unil                
unimportant               unimport             unimport            
union                     union                un                  
unipolar                  unipolar             unipol              
unique                    uniqu                un                  
uniquely                  uniqu                un                  
uniqueness                uniqu                un                  
unit                      unit                 unit                
unitary                   unitari              unit                
united                    unit                 unit                
unitor                    unitor               unit                
units                     unit                 unit                
unity                     uniti                un                  
univac                    univac               univac              
univelocity               univeloc             univeloc            
univers                   univ                 un                  
universal                 univers              univers             
universally               univers              univers             
universe                  univers              univers             
university                univers              univers             
univibrator               univibr              univibr             
unknown                   unknown              unknown             
unknowns                  unknown              unknown             
unless                    unless               unless              
unlike                    unlik                unlik               
unlikely                  unlik                unlik               
unlimited                 unlimit              unlimit             
unloaded                  unload               unload              
unmagnetized              unmagnet             unmagnet            
unmatched                 unmatch              unmatch             
unmodulated               unmodul              unmod               
unnatural                 unnatur              un                  
unnecessarily             unnecessarili        unnecess            
unnecessary               unnecessari          unnecess            
unobscured                unobscur             unobsc              
unobtainable              unobtain             unobtain            
unoccupied                unoccupi             unoccupy            
unpaired                  unpair               unpair              
unperturbed               unperturb            unperturb           
unpolarized               unpolar              unpol               
unpolluted                unpollut             unpollut            
unprecedented             unpreced             unprec              
unprotected               unprotect            unprotect           
unpublished               unpublish            unpubl              
unreal                    unreal               unr                 
unregulated               unregul              unreg               
unrelated                 unrel                unrel               
unreliability             unreli               unrely              
unreliable                unreli               unrely              
unresolvable              unresolv             unresolv            
unresolved                unresolv             unresolv            
unretarded                unretard             unretard            
unsatisfactory            unsatisfactori       unsatisfact         
unsaturated               unsatur              uns                 
unselected                unselect             unselect            
unsold                    unsold               unsold              
unsound                   unsound              unsound             
unstable                  unstabl              unst                
unsuccessful              unsuccess            unsuccess           
unsuitable                unsuit               unsuit              
unswitched                unswitch             unswitch            
unsymmetric               unsymmetr            unsymmet            
unsymmetrical             unsymmetr            unsymmet            
unsymmetrically           unsymmetr            unsymmet            
untenable                 unten                unt                 
unterminated              untermin             untermin            
until                     until                until               
untimely                  untim                untim               
untreated                 untreat              unt                 
untuned                   untun                untun               
unusual                   unusu                unus                
unusually                 unusu                unus                
unventilated              unventil             unventil            
unwanted                  unwant               unw                 
unwated                   unwat                unw                 
unz                       unz                  unz                 
up                        up                   up                  
upeer                     upeer                up                  
upheaval                  upheav               upheav              
upon                      upon                 upon                
upper                     upper                up                  
upperaboundary            upperaboundari       upperabound         
uppermost                 uppermost            uppermost           
upporting                 upport               upport              
uppsala                   uppsala              uppsal              
upright                   upright              upright             
ups                       up                   up                  
upsala                    upsala               upsal               
uptapered                 uptap                uptap               
uput                      uput                 uput                
upward                    upward               upward              
upwards                   upward               upward              
ur                        ur                   ur                  
urbana                    urbana               urban               
urbanization              urban                urb                 
ure                       ure                  ur                  
uring                     ure                  ur                  
ursi                      ursi                 urs                 
ursigram                  ursigram             ursigram            
ursigrams                 ursigram             ursigram            
us                        us                   us                  
usa                       usa                  us                  
usable                    usabl                us                  
usage                     usag                 us                  
use                       use                  us                  
used                      use                  us                  
useful                    use                  us                  
usefully                  use                  us                  
usefulness                use                  us                  
users                     user                 us                  
uses                      use                  us                  
using                     use                  us                  
usion                     usion                us                  
usitors                   usitor               usit                
ussed                     uss                  uss                 
ussr                      ussr                 ussr                
ust                       ust                  ust                 
usual                     usual                us                  
usually                   usual                us                  
usw                       usw                  usw                 
ut                        ut                   ut                  
utility                   util                 util                
utilization               util                 util                
utilized                  util                 util                
utilizes                  util                 util                
utilizing                 util                 util                
utrecht                   utrecht              utrecht             
v                         v                    v                   
va                        va                   va                  
vacancies                 vacanc               vac                 
vacant                    vacant               vac                 
vacua                     vacua                vacu                
vacuo                     vacuo                vacuo               
vacuum                    vacuum               vacu                
val                       val                  val                 
valdes                    vald                 vald                
vale                      vale                 val                 
valence                   valenc               val                 
valent                    valent               val                 
vales                     vale                 val                 
valid                     valid                valid               
validate                  valid                valid               
validity                  valid                valid               
vallarta                  vallarta             vallart             
valle                     vall                 val                 
valley                    valley               valley              
valleys                   valley               valley              
valnent                   valnent              valn                
valuable                  valuabl              valu                
valuation                 valuat               valu                
value                     valu                 valu                
valued                    valu                 valu                
values                    valu                 valu                
valuex                    valuex               valuex              
valve                     valv                 valv                
valves                    valv                 valv                
vamistor                  vamistor             vam                 
van                       van                  van                 
vane                      vane                 van                 
vanes                     vane                 van                 
vanguard                  vanguard             vanguard            
vanguawd                  vanguawd             vanguawd            
vanish                    vanish               van                 
vanished                  vanish               van                 
vanishes                  vanish               van                 
vanishing                 vanish               van                 
vapour                    vapour               vapo                
vapours                   vapour               vapo                
var                       var                  var                 
varactor                  varactor             varact              
varactors                 varactor             varact              
varenna                   varenna              varenn              
variability               variabl              vary                
variable                  variabl              vary                
variables                 variabl              vary                
variac                    variac               variac              
variance                  varianc              vary                
variant                   variant              vary                
variants                  variant              vary                
variation                 variat               vary                
variational               variat               vary                
variationalprinciml       variationalprinciml  variationalprinciml 
variations                variat               vary                
varicap                   varicap              varicap             
varied                    vari                 vary                
varies                    vari                 vary                
varieties                 varieti              vary                
variety                   varieti              vary                
varing                    vare                 var                 
variometer                variomet             variomet            
various                   variou               vary                
varistor                  varistor             var                 
varistors                 varistor             var                 
varney                    varney               varney              
vartue                    vartu                vartu               
vary                      vari                 vary                
varying                   vari                 vary                
vas                       va                   vas                 
vast                      vast                 vast                
vaucouleurs               vaucouleur           vauco               
vavilov                   vavilov              vavilov             
vc                        vc                   vc                  
ve                        ve                   ve                  
vebrations                vebrat               vebr                
vector                    vector               vect                
vectorial                 vectori              vect                
vectors                   vector               vect                
vehicle                   vehicl               vehic               
vehicles                  vehicl               vehic               
vekiw                     vekiw                vekiw               
vela                      vela                 vel                 
velocities                veloc                veloc               
velocitile                velocitil            velocitil           
velocity                  veloc                veloc               
venti                     venti                vent                
venus                     venu                 ven                 
verages                   verag                ver                 
verbatim                  verbatim             verbatim            
verifiable                verifi               ver                 
verification              verif                ver                 
verifications             verif                ver                 
verified                  verifi               ver                 
verify                    verifi               ver                 
verlag                    verlag               verl                
vernier                   vernier              verny               
veronique                 veroniqu             veron               
versa                     versa                vers                
versatile                 versatil             versatil            
versatility               versatil             versatil            
version                   version              vert                
versions                  version              vert                
versus                    versu                vers                
vertex                    vertex               vertex              
vertical                  vertic               vert                
vertically                vertic               vert                
vertices                  vertic               vert                
vertification             vertif               vert                
very                      veri                 very                
vesicular                 vesicular            vesicul             
vessel                    vessel               vessel              
vestigial                 vestigi              vestig              
vestines                  vestin               vestin              
vf                        vf                   vf                  
vfo                       vfo                  vfo                 
vh                        vh                   vh                  
vhf                       vhf                  vhf                 
via                       via                  via                 
vibrated                  vibrat               vibr                
vibrating                 vibrat               vibr                
vibration                 vibrat               vibr                
vibrational               vibrat               vibr                
vibrations                vibrat               vibr                
vibrator                  vibrat               vibr                
vibrators                 vibrat               vibr                
vibratory                 vibratori            vibr                
vic                       vic                  vic                 
vice                      vice                 vic                 
vicinity                  vicin                vicin               
victoria                  victoria             victor              
videa                     videa                vide                
video                     video                video               
vienna                    vienna               vienn               
view                      view                 view                
viewed                    view                 view                
viewpoint                 viewpoint            viewpoint           
viewpoints                viewpoint            viewpoint           
views                     view                 view                
vigorous                  vigor                vig                 
viking                    vike                 vik                 
villa                     villa                vill                
ville                     vill                 vil                 
vincent                   vincent              vint                
vinyl                     vinyl                vinyl               
violates                  violat               viol                
violating                 violat               viol                
violent                   violent              viol                
violet                    violet               violet              
virg                      virg                 virg                
virginia                  virginia             virgin              
virgo                     virgo                virgo               
virial                    virial               vir                 
virtual                   virtual              virt                
virtually                 virtual              virt                
virtue                    virtu                virtu               
vis                       vi                   vis                 
viscosity                 viscos               viscos              
viscous                   viscou               visc                
visible                   visibl               vis                 
visibly                   visibl               vis                 
vision                    vision               vis                 
visual                    visual               vis                 
visualizing               visual               vis                 
visually                  visual               vis                 
vith                      vith                 vith                
vitkevich                 vitkevich            vitkevich           
vitreous                  vitreou              vit                 
viz                       viz                  viz                 
vl                        vl                   vl                  
vlasov                    vlasov               vlasov              
vleck                     vleck                vleck               
vlecks                    vleck                vleck               
vlf                       vlf                  vlf                 
vlve                      vlve                 vlve                
vm                        vm                   vm                  
vocabulary                vocabulari           vocab               
voigt                     voigt                voigt               
vol                       vol                  vol                 
volcanic                  volcan               volc                
volmer                    volmer               volm                
volmeter                  volmet               volmet              
volt                      volt                 volt                
volta                     volta                volt                
voltage                   voltag               volt                
voltages                  voltag               volt                
voltaic                   voltaic              volta               
volterra                  volterra             volterr             
voltmeter                 voltmet              voltmet             
voltmeters                voltmet              voltmet             
volts                     volt                 volt                
volume                    volum                volum               
volumes                   volum                volum               
von                       von                  von                 
vorlesung                 vorlesung            vorlesung           
vortex                    vortex               vortex              
vortices                  vortic               vort                
voyages                   voyag                voy                 
vp                        vp                   vp                  
vr                        vr                   vr                  
vs                        vs                   vs                  
vulnerable                vulner               vuln                
vut                       vut                  vut                 
vx                        vx                   vx                  
vxide                     vxide                vxid                
vxo                       vxo                  vxo                 
vz                        vz                   vz                  
w                         w                    w                   
wa                        wa                   wa                  
wade                      wade                 wad                 
wafer                     wafer                waf                 
wafers                    wafer                waf                 
wagner                    wagner               wagn                
wagners                   wagner               wagn                
waidelich                 waidelich            waidelich           
waist                     waist                waist               
wait                      wait                 wait                
waiting                   wait                 wait                
wake                      wake                 wak                 
wakkanai                  wakkanai             wakkana             
wal                       wal                  wal                 
walk                      walk                 walk                
walkers                   walker               walk                
wall                      wall                 wal                 
walled                    wall                 wal                 
wallops                   wallop               wallop              
walls                     wall                 wal                 
waltair                   waltair              waltair             
walton                    walton               walton              
wanding                   wand                 wand                
wannier                   wannier              wanny               
want                      want                 want                
wanted                    want                 want                
war                       war                  war                 
warburton                 warburton            warburton           
ward                      ward                 ward                
warfare                   warfar               warf                
warham                    warham               warham              
warm                      warm                 warm                
warming                   warm                 warm                
warning                   warn                 warn                
warnings                  warn                 warn                
warrant                   warrant              war                 
was                       wa                   was                 
washer                    washer               wash                
washers                   washer               wash                
washington                washington           washington          
water                     water                wat                 
wates                     wate                 wat                 
watheroo                  watheroo             watheroo            
watkins                   watkin               watkin              
watson                    watson               watson              
watt                      watt                 wat                 
wattmeter                 wattmet              wattmet             
watts                     watt                 wat                 
wave                      wave                 wav                 
waveband                  waveband             waveband            
wavebands                 waveband             waveband            
waveform                  waveform             waveform            
waveforms                 waveform             waveform            
wavefronts                wavefront            wavefront           
waveguide                 waveguid             waveguid            
waveguides                waveguid             waveguid            
wavelength                wavelength           waveleng            
wavelengths               wavelength           wavelength          
wavelike                  wavelik              wavelik             
wavemeter                 wavemet              wavemet             
waves                     wave                 wav                 
waveshape                 waveshap             waveshap            
wavetype                  wavetyp              wavetyp             
wavy                      wavi                 wavy                
wax                       wax                  wax                 
waxes                     wax                  wax                 
way                       way                  way                 
ways                      way                  way                 
wbk                       wbk                  wbk                 
we                        we                   we                  
weak                      weak                 weak                
weakening                 weaken               weak                
weaker                    weaker               weak                
weakest                   weakest              weakest             
weakly                    weakli               weak                
weakness                  weak                 weak                
weapons                   weapon               weapon              
wear                      wear                 wear                
weather                   weather              weath               
webb                      webb                 web                 
weber                     weber                web                 
weddell                   weddel               weddel              
wedge                     wedg                 wedg                
wedges                    wedg                 wedg                
week                      week                 week                
weekes                    week                 week                
weeks                     week                 week                
wehner                    wehner               wehn                
wehners                   wehner               wehn                
weigh                     weigh                weigh               
weighs                    weigh                weigh               
weight                    weight               weight              
weighted                  weight               weight              
weighting                 weight               weight              
weights                   weight               weight              
weill                     weill                weil                
weiss                     weiss                weiss               
weissfloch                weissfloch           weissfloch          
weissflochs               weissfloch           weissfloch          
weisshaar                 weisshaar            weissha             
weizel                    weizel               weizel              
welded                    weld                 weld                
welding                   weld                 weld                
welker                    welker               welk                
well                      well                 wel                 
wellengeb                 wellengeb            wellengeb           
wells                     well                 wel                 
wendelstein               wendelstein          wendelstein         
wendt                     wendt                wendt               
were                      were                 wer                 
werre                     werr                 wer                 
west                      west                 west                
westberg                  westberg             westberg            
westerhout                westerhout           westerhout          
westerly                  westerli             west                
western                   western              western             
westfold                  westfold             westfold            
westfolds                 westfold             westfold            
westinghouse              westinghous          westingh            
weston                    weston               weston              
westward                  westward             westward            
westwards                 westward             westward            
wet                       wet                  wet                 
wetted                    wet                  wet                 
weve                      weve                 wev                 
whale                     whale                whal                
what                      what                 what                
whatever                  whatev               whatev              
whde                      whde                 whde                
whe                       whe                  whe                 
wheaton                   wheaton              wheaton             
wheatstone                wheatston            wheatston           
whee                      whee                 whe                 
wheel                     wheel                wheel               
wheeler                   wheeler              wheel               
wheelers                  wheeler              wheel               
when                      when                 when                
whence                    whenc                whent               
whenever                  whenev               whenev              
wher                      wher                 wher                
where                     where                wher                
whereas                   wherea               wherea              
whereby                   wherebi              whereby             
wherein                   wherein              wherein             
wherever                  wherev               wherev              
whether                   whether              wheth               
whic                      whic                 whic                
which                     which                which               
whichever                 whichev              whichev             
whiddington               whiddington          whiddington         
whih                      whih                 whih                
while                     while                whil                
whilst                    whilst               whilst              
whisker                   whisker              whisk               
whiskers                  whisker              whisk               
whispering                whisper              whisp               
whistler                  whistler             whistl              
whistlers                 whistler             whistl              
whistling                 whistl               whistl              
white                     white                whit                
whitesall                 whitesal             whitesal            
whitfield                 whitfield            whitfield           
whithin                   whithin              whithin             
who                       who                  who                 
whole                     whole                whol                
wholly                    wholli               whol                
whose                     whose                whos                
whost                     whost                whost               
whown                     whown                whown               
why                       whi                  why                 
wi                        wi                   wi                  
wich                      wich                 wich                
wide                      wide                 wid                 
wideband                  wideband             wideband            
widely                    wide                 wid                 
widen                     widen                wid                 
widening                  widen                wid                 
wider                     wider                wid                 
widespread                widespread           widespread          
width                     width                wid                 
widthmm                   widthmm              widthm              
widths                    width                width               
wiedemann                 wiedemann            wiedeman            
wiegand                   wiegand              wiegand             
wien                      wien                 wien                
wienbridge                wienbridg            wienbridg           
wiener                    wiener               wien                
wieners                   wiener               wien                
wiens                     wien                 wien                
wiggle                    wiggl                wiggl               
wil                       wil                  wil                 
wild                      wild                 wild                
wilkins                   wilkin               wilkin              
wilkinson                 wilkinson            wilkinson           
wilkinsons                wilkinson            wilkinson           
will                      will                 wil                 
williams                  william              william             
williamsbug               williamsbug          williamsbug         
williamson                williamson           williamson          
wilson                    wilson               wilson              
wina                      wina                 win                 
wind                      wind                 wind                
winding                   wind                 wind                
windings                  wind                 wind                
window                    window               window              
windows                   window               window              
winds                     wind                 wind                
wing                      wing                 wing                
wingst                    wingst               wingst              
winter                    winter               wint                
winters                   winter               wint                
wire                      wire                 wir                 
wired                     wire                 wir                 
wireless                  wireless             wireless            
wires                     wire                 wir                 
wirewound                 wirewound            wirewound           
wiring                    wire                 wir                 
wishes                    wish                 wish                
wit                       wit                  wit                 
wite                      wite                 wit                 
with                      with                 with                
witha                     witha                with                
withe                     with                 with                
within                    within               within              
withou                    withou               withou              
without                   without              without             
withstand                 withstand            withstand           
withstandard              withstandard         withstandard        
withstanding              withstand            withstand           
witnh                     witnh                witnh               
witton                    witton               witton              
wkb                       wkb                  wkb                 
wo                        wo                   wo                  
wobbulators               wobbul               wobb                
wolf                      wolf                 wolf                
wolfs                     wolf                 wolf                
wolters                   wolter               wolt                
woltjer                   woltjer              wolts               
wood                      wood                 wood                
woods                     wood                 wood                
woodson                   woodson              woodson             
wool                      wool                 wool                
word                      word                 word                
words                     word                 word                
work                      work                 work                
worked                    work                 work                
workers                   worker               work                
working                   work                 work                
works                     work                 work                
world                     world                world               
worlds                    world                world               
worldwide                 worldwid             worldwid            
worse                     wors                 wors                
worst                     worst                worst               
worth                     worth                wor                 
worthing                  worth                worth               
wou                       wou                  wou                 
would                     would                would               
wound                     wound                wound               
wow                       wow                  wow                 
wr                        wr                   wr                  
wrapped                   wrap                 wrap                
wrinkling                 wrinkl               wrinkl              
write                     write                writ                
writing                   write                writ                
written                   written              writ                
wrong                     wrong                wrong               
wrongly                   wrongli              wrong               
wronskian                 wronskian            wronsk              
wrth                      wrth                 wrth                
wspg                      wspg                 wspg                
wu                        wu                   wu                  
wurtzite                  wurtzit              wurtzit             
wurzburg                  wurzburg             wurzburg            
wve                       wve                  wve                 
wwv                       wwv                  wwv                 
wwvh                      wwvh                 wwvh                
wz                        wz                   wz                  
x                         x                    x                   
xamagawa                  xamagawa             xamagaw             
xe                        xe                   xe                  
xelectrolyte              xelectrolyt          xelectrolyt         
xrays                     xray                 xray                
xsing                     xsing                xsing               
xt                        xt                   xt                  
xy                        xy                   xy                  
xylene                    xylen                xyl                 
xylol                     xylol                xylol               
y                         y                    y                   
yagi                      yagi                 yag                 
yagis                     yagi                 yag                 
yamagawa                  yamagawa             yamagaw             
yarn                      yarn                 yarn                
year                      year                 year                
yearly                    yearli               year                
years                     year                 year                
yellow                    yellow               yellow              
yet                       yet                  yet                 
yield                     yield                yield               
yielded                   yield                yield               
yielding                  yield                yield               
yields                    yield                yield               
yoke                      yoke                 yok                 
yonezawa                  yonezawa             yonezaw             
yor                       yor                  yor                 
york                      york                 york                
yormula                   yormula              yormul              
young                     young                young               
youngs                    young                young               
yttrium                   yttrium              yttr                
z                         z                    z                   
zaccheroni                zaccheroni           zaccheron           
zag                       zag                  zag                 
zahlenwerte               zahlenwert           zahlenwert          
zaiser                    zaiser               zais                
zaitsev                   zaitsev              zaitsev             
zamboni                   zamboni              zambon              
zchived                   zchive               zchived             
zealand                   zealand              zealand             
zeeman                    zeeman               zeem                
zemlya                    zemlya               zemly               
zener                     zener                zen                 
zeners                    zener                zen                 
zenith                    zenith               zeni                
